"File","Print","⌘P","In Windows"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Navigate","Forward History","⌘]","In Windows"
"Edit","Select Next Element","⌃⇧→","Editing in Structured Text Editors"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Terminal view commands","Terminal view insert","⌥L","Terminal Typing Connected"
"Run/Debug","Debug OSGi Framework","⌃⌥⌘D O","In Windows"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View"
"Run/Debug","Execute","⌘U","In Windows"
"Views","JavaScript Type Hierarchy","⌥⌘Q T","JavaScript View"
"Navigate","Open Type","⇧⌘T","In Windows"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"Task Repositories","Mark Task Complete","⌥⇧C","In Tasks View"
"Focused UI","Focus on Active Task","⌥⇧H","In Windows"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"Terminal view commands","Terminal view insert","⌥P","Terminal Typing Connected"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"Window","Next Editor","⌘F6","In Windows"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"Navigate","Forward History","⌥⌘→","In Windows"
"Edit","Delete","⌦","In Windows"
"Text Editing","Line Start","⌘←","Editing Text"
"Source","Toggle Comment","⌘/","Editing JavaScript Source"
"Refactor - JavaScript","Move - Refactoring ","⌥⌘V","JavaScript View"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Terminal view commands","Paste","⇧Insert","Terminal Control in Focus"
"Run/Debug","Run JUnit Plug-in Test","⌥⌘X P","In Windows"
"Navigate","Search Repository for Task","⇧⌘F12","In Windows"
"Views","Show View ()","⌥⌘Q D","In Windows"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Database Tools","Run","⌥⌘R","Editing SQL"
"Terminal view commands","Maximize Active View or Editor","⌥↑","Terminal Control in Focus"
"Edit","Cut","⌘X","In Dialogs and Windows"
"Spy","Plug-in Selection Spy","⌥⇧F1","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","⌥F","Terminal Typing Connected"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Text Editing","Text End","↘","Editing Text"
"Navigate","Deactivate Task","⇧⌘F9","In Windows"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"Terminal view commands","Copy","⌘C","Terminal Control in Focus"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"Refactor - JavaScript","Show Refactor Quick Menu","⌥⌘T","JavaScript View"
"Text Editing","Delete Line","⌘D","Editing Text"
"JavaScript Debug","Evaluate","⌥⇧E","Editing JavaScript Source"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"Source","Show Source Quick Menu","⌥⌘S","JavaScript View"
"Server","Stop","⌥⌘S","In Servers View"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"Terminal view commands","Terminal view insert","⌥Y","Terminal Typing Connected"
"Database Tools","Edit in SQL Query Builder...","⌥Q","Editing SQL"
"Edit","Select Enclosing Element","⌃⇧↑","Editing JavaScript Source"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Run/Debug","Skip All Breakpoints","⌥⌘B","In Windows"
"Edit","Select Previous Element","⌃⇧↖","Editing Java Source"
"Run/Debug","Run Gradle Test","⌥⌘X G","In Windows"
"Window","Activate Editor","F12","In Windows"
"Window","Select Maven Profiles","⌃⌥P","In Windows"
"Navigate","Quick Outline","⇧⌘O","Task Markup Editor Source Context"
"File","Properties","⌘I","In Windows"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows"
"Terminal view commands","Terminal view insert","⌥N","Terminal Typing Connected"
"Focused UI","Make Less Interesting","⌥⇧⌘↓","In Windows"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"Git","Commit...","⌥⌘3","In Windows"
"Terminal view commands","Copy","⇧⌘C","Terminal Control in Focus"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Navigate","Open Declaration","F3","JavaScript View"
"Run/Debug","Run Maven Build","⌥⇧X M","In Windows"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"JavaScript Debug","Open Source","⇧⌘3","Debugging"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Edit","Select Enclosing Element","⌥⇧↑","Editing in Structured Text Editors"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Run/Debug","Coverage Java Application","⌥⇧E J","In Windows"
"Views","Show View (Type Hierarchy)","⌥⌘Q T","In Windows"
"Source","Quick Assist - Assign to var","⌘2 F","Editing JavaScript Source"
"File","Rename","F2","In Windows"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","JavaScript View"
"Project","Build All","⌘B","In Windows"
"Run/Debug","Run XSLT Transformation","⌥⌘X X","In Windows"
"Source","Surround With Quick Menu","⌥⌘Z","JavaScript View"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"Navigate","Go To Next Unread Task","⌥↓","In Tasks View"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Views","JavaScript Declaration","⌥⌘Q D","JavaScript View"
"Text Editing","Previous Word","⌥←","Editing Text"
"Navigate","Open Type","⇧⌘T","Editing JavaScript Source"
"Run/Debug","Debug XSLT Transformation","⌥⌘D X","In Windows"
"Source","Add Import","⇧⌘M","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","⌥H","Terminal Typing Connected"
"Views","Documentation","⌥⌘Q J","JavaScript View"
"Views","Show View (Task List)","⌥⌘Q K","In Windows"
"Views","Show View (Console)","⌥⇧Q C","In Windows"
"Edit","Format","⇧⌘F","Editing in Structured Text Editors"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Navigate","Go to Line","⌘L","Editing Text"
"SQL Results View","Terminate Result","⌘Break","In Windows"
"Text Editing","Text Start","⌘↖","Editing Text"
"Source","Indent Line","⌘I","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","⌥T","Terminal Typing Connected"
"Navigate","Quick Outline","⌘O","PDE editor"
"Focused UI","Make Landmark","⌥⇧⌘↑","In Windows"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"Navigate","Open Manifest","⌥⇧⌘M","In Windows"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"File","Save","⌃S","In Windows"
"Task Repositories","Mark Task Unread","⌥⇧U","In Tasks Editor"
"ASA 9.x table schema editor","Cut","⌥X","In Windows"
"Window","Close Dialog","⌘W","In Dialogs"
"Run/Debug","Debug JUnit Plug-in Test","⌃⌥⌘D P","In Windows"
"Window","Toggle Split Editor (Vertical)","⇧⌘[","In Windows"
"Run/Debug","Coverage RAP JUnit Test","⌥⇧E R","In Windows"
"Text Editing","Text Start","↖","Editing Text"
"Run/Debug","Run OSGi Framework","⌥⌘X O","In Windows"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Navigate","Open Remote Task","⌥⇧⌘F12","In Windows"
"Navigate","Open Maven POM","⌥⇧P","In Windows"
"Edit","Quick Diff Toggle","⌃⇧Q","Editing Text"
"File","Close All","⇧⌘W","In Windows"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"File","New","⌃N","In Windows"
"Edit","Context Information","⌃⇧Space","In Dialogs and Windows"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Run/Debug","Run Eclipse Application","⌥⌘X E","In Windows"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing JavaScript Source"
"Focused UI","Show Context Quick View","⌥⇧⌘→","In Windows"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Database Tools","Execute Current Text","⌥S","Editing SQL"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Edit","Next Sibling","⌃⇧↓","Editing in Structured Text Editors"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Edit","Word Completion","⌃.","Editing Text"
"Edit","Find Next","⌘K","Editing Text"
"Spy","Plug-in Menu Spy","⌥⇧F2","In Dialogs and Windows"
"Text Editing","Select Text End","⇧↘","Editing Text"
"Run/Debug","Debug Eclipse Application","⌃⌥⌘D E","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"SQL Results View","Remove Result","⌘⌦","In Windows"
"Source","Organize Imports","⇧⌘O","In Windows"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"Refactor - JavaScript","Rename - Refactoring ","⌥⌘R","JavaScript View"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"Task Repositories","Mark Task Incomplete","⌥⇧I","In Tasks Editor"
"Edit","Previous Sibling","⇧⌘↑","Editing in Structured Text Editors"
"Run/Debug","Coverage SWTBot Test","⌥⇧E S","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","JavaScript View"
"Run/Debug","Coverage JUnit Test","⌥⇧E T","In Windows"
"Window","Show Contributing Plug-in","⌥⇧F3","In Dialogs and Windows"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Task Repositories","Quick Outline","⌘O","In Tasks Editor"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Run/Debug","Run","⌃F11","In Windows"
"Source","Format","⇧⌘F","Editing JavaScript Source"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"Run/Debug","EOF","⌃D","In I/O Console"
"Navigate","Next Page","⌥F7","In Windows"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Run/Debug","Run on Server","⌥⇧X R","In Windows"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Task Repositories","New Local Task","⌥N","In Tasks View"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Views","Show View (Project Explorer)","⌥⇧Q P","In Windows"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing JavaScript Source"
"Terminal Commands","Open Local Terminal on Selection","⌃⌥⇧T","In Windows"
"Terminal view commands","Copy","⌘Insert","Terminal Control in Focus"
"Navigate","Go to Next Member","⌃⌥↓","Editing JavaScript Source"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Search","References in Workspace","⇧⌘G","In Windows"
"Search","Open Search Dialog","⌃H","In Windows"
"Run/Debug","Run to Line","⌘R","Debugging"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"Database Tools","Goto Matching Token","⇧⌘P","Editing SQL"
"Task Repositories","Mark Task Read","⌥⇧R","In Tasks View"
"Edit","Move","⌥⇧V","Editing JSP Source"
"Edit","Occurrences in File","⇧⌘A","Editing in Structured Text Editors"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"SQL Results View","Remove All Visible Results","⇧⌦","In Windows"
"Navigate","Previous Page","⇧⌘F5","Using Web Page Editor"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Navigate","Last Edit Location","⌃Q","In Windows"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"Text Editing","Text End","⌘↘","Editing Text"
"Web Page Editor Layout","Horizontal Layout","⇧⌘F10","Using Web Page Editor"
"Edit","Restore Last Selection","⌃⇧⇟","Editing Java Source"
"Terminal view commands","Terminal view insert","⌥W","Terminal Typing Connected"
"Edit","Select Enclosing Element","⌃⇧⇞","Editing Java Source"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Refactor - JavaScript","Extract Function","⌥⌘M","JavaScript View"
"Run/Debug","Step Over","F6","Debugging"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
